ZSCORE_ONCODRIVECLUST	PVALUE_ONCODRIVEFM	DRIVER_LABEL	CLUST_COORDS	SYMBOL	POOL_SIGNALS	MUTS_CS	MUTS_PAM	KNOWN_DRIVER	ONCODRIVE_ROLE	PVALUE_ONCODRIVECLUST	GENE	QVALUE_ONCODRIVEFM	PROJECT	SIGNAL_COUNT	SIGNALS	CANCER_TYPE	MUTS_PAM_SAMPLES	MUTS_CS_SAMPLES	QVALUE_ONCODRIVECLUST
4.223936425580001	5.48084730934e-08	perProject_driver	[88,88]:2,[104,111]:4,[118,118]:2,[344,350]:15,[420,420]:3,[453,453]:4,[539,546]:87,[726,726]:6,[1037,1049]:110	PIK3CA	RFC	284	271.0	True	0.9990000000000001	1.20035898686e-05	ENSG00000121879	1.24141191556e-06	BRCA_TCGA	3	RFC	BRCA	247.0	258	0.0001400418818
2.03245253949	0.0	perProject_driver	[124,136]:13,[141,141]:4,[157,183]:38,[187,199]:30,[213,221]:22,[232,241]:8,[245,248]:14,[252,258]:5,[265,289]:35,[342,342]:5	TP53	RFC	259	255.0	True	0.006999999999999999	0.0210539319163	ENSG00000141510	0.0	BRCA_TCGA	2	RF	BRCA	251.0	253	0.105269659581
-1.5544378698199999	0.0	perProject_driver	[1048,1048]:2	MAP3K1	RF	85	80.0		0.01	0.939959997031	ENSG00000095015	0.0	BRCA_TCGA	2	RF	BRCA	54.0	56	0.948800545083
0.417948717949	0.0	perProject_driver	[294,294]:2	GATA3	RF	85	84.0	True	0.012	0.337992305936	ENSG00000107485	0.0	BRCA_TCGA	2	RF	BRCA	81.0	82	0.591486535388
1.31538461538	0.0	perProject_driver	[23,23]:3,[63,63]:3,[243,243]:3	CDH1	RF	56	54.0	True	0.0035	0.0941903366697	ENSG00000039068	0.0	BRCA_TCGA	2	RF	BRCA	53.0	55	0.32966617834399997
-1.63333333333	0.0	perProject_driver	[367,367]:2	MLL3	RF	54	52.0	True	0.018000000000000002	0.948800545083	ENSG00000055609	0.0	BRCA_TCGA	2	RF	BRCA	49.0	50	0.948800545083
	0.0	perProject_driver		NCOR1	F	33	31.0		0.008		ENSG00000141027	0.0	BRCA_TCGA	2	RF	BRCA	30.0	32	
0.9788507645119999	0.0	perProject_driver	[195,197]:3,[262,262]:2,[396,396]:2	MAP2K4	RF	31	31.0	True	0.0225	0.163826861277	ENSG00000065559	0.0	BRCA_TCGA	2	RF	BRCA	31.0	31	0.362325094757
-0.21245521425	0.0	perProject_driver	[123,135]:5	PTEN	RFC	31	29.0	True	0.01	0.584124042979	ENSG00000171862	0.0	BRCA_TCGA	2	RF	BRCA	28.0	30	0.735327725911
	2.22044604925e-16	perProject_driver		RUNX1	RF	28	25.0	True	0.0015		ENSG00000159216	7.737400463929999e-15	BRCA_TCGA	2	RF	BRCA	24.0	27	
	1.58492540758e-07	perProject_driver		NF1	RF	22	20.0	True	0.0		ENSG00000196712	3.2635054983400003e-06	BRCA_TCGA	1	F	BRCA	19.0	21	
-0.116859921685	4.63393921408e-05	perProject_driver	[283,288]:5	CTCF	RF	21	17.0		0.006999999999999999	0.546514470828	ENSG00000102974	0.000655992019994	BRCA_TCGA	2	RF	BRCA	17.0	21	0.735327725911
	0.39352636550399994	perProject_driver		PIK3R1	RF	20	7.0	True	0.0215		ENSG00000145675	0.836936354804	BRCA_TCGA	1	R	BRCA	7.0	20	
5.141295546559999	6.25756113593e-11	perProject_driver	[17,17]:18	AKT1	FC	20	19.0	True	0.9945	1.36425228873e-07	ENSG00000142208	1.66745599681e-09	BRCA_TCGA	3	RFC	BRCA	19.0	20	2.38744150527e-06
-0.607692307692	5.551115123130001e-16	perProject_driver	[215,215]:2	RB1	RF	19	16.0	True	0.0005	0.728304217095	ENSG00000139687	1.79618225055e-14	BRCA_TCGA	2	RF	BRCA	14.0	17	0.849688253278
0.417948717949	2.22044604925e-16	perProject_driver	[187,187]:2	TBX3	F	19	17.0		0.057999999999999996	0.337992305936	ENSG00000135111	7.737400463929999e-15	BRCA_TCGA	2	RF	BRCA	17.0	19	0.591486535388
	3.98902837718e-05	perProject_driver		ATM	RF	19	17.0	True	0.0		ENSG00000149311	0.000582912856408	BRCA_TCGA	1	F	BRCA	16.0	17	
	1.46382289834e-06	perProject_driver		ARID1A	RF	18	17.0	True	0.0005		ENSG00000117713	2.88309466499e-05	BRCA_TCGA	1	F	BRCA	16.0	17	
	0.000277518991795	perProject_driver		ANK3	F	17	17.0		0.8809999999999999		ENSG00000151150	0.00345857335281	BRCA_TCGA	1	F	BRCA	15.0	15	
-0.31694028669700003	8.16478207377e-06	perProject_driver	[99,104]:4	CBFB	F	17	15.0	True	0.0055	0.624355543858	ENSG00000067955	0.00014794585117700002	BRCA_TCGA	2	RF	BRCA	15.0	17	0.753532552932
	0.00038366588594199993	perProject_driver		BRCA2		15	13.0	True	0.0415		ENSG00000139618	0.0044564268290200005	BRCA_TCGA	1	F	BRCA	12.0	14	
	5.11923836655e-13	perProject_driver		MED23		14	12.0		0.0195		ENSG00000112282	1.5460099867e-11	BRCA_TCGA	1	F	BRCA	12.0	14	
	0.0004316365803999999	perProject_driver		BRCA1	F	14	11.0	True	0.0045		ENSG00000012048	0.004888284273029999	BRCA_TCGA	1	F	BRCA	11.0	14	
2.24945054945	0.0	perProject_driver	[700,700]:8	SF3B1	F	14	14.0	True	0.9435	0.0122419228076	ENSG00000115524	0.0	BRCA_TCGA	2	RF	BRCA	14.0	14	0.0714112163776
	0.0487796063586	perProject_driver		RPGR		13	11.0		0.221		ENSG00000156313	0.21760320980999998	BRCA_TCGA	1	R	BRCA	11.0	13	
	3.82338092428e-05	perProject_driver		MLLT4		13	8.0	True	0.05		ENSG00000130396	0.0005773305195669999	BRCA_TCGA	1	F	BRCA	8.0	12	
	3.41959793815e-12	perProject_driver		FOXA1		13	13.0		0.1645		ENSG00000129514	9.68173666238e-11	BRCA_TCGA	2	RF	BRCA	13.0	13	
	1.53164215562e-05	perProject_driver		STAG2	RF	13	7.0		0.069		ENSG00000101972	0.000266859190959	BRCA_TCGA	1	F	BRCA	7.0	13	
		perProject_driver		PRKAR1A		12	4.0	True	0.0595		ENSG00000108946		BRCA_TCGA	1	R	BRCA	4.0	12	
	1.80872666304e-05	perProject_driver		HCFC1		12	11.0		0.8370000000000001		ENSG00000172534	0.00029262613512800003	BRCA_TCGA	1	F	BRCA	11.0	12	
	2.67743128513e-06	perProject_driver		MYH14		12	11.0		0.89		ENSG00000105357	5.05365155067e-05	BRCA_TCGA	1	F	BRCA	11.0	12	
