ZSCORE_ONCODRIVECLUST	PVALUE_ONCODRIVEFM	DRIVER_LABEL	CLUST_COORDS	SYMBOL	POOL_SIGNALS	MUTS_CS	MUTS_PAM	KNOWN_DRIVER	ONCODRIVE_ROLE	PVALUE_ONCODRIVECLUST	GENE	QVALUE_ONCODRIVEFM	PROJECT	SIGNAL_COUNT	SIGNALS	CANCER_TYPE	MUTS_PAM_SAMPLES	MUTS_CS_SAMPLES	QVALUE_ONCODRIVECLUST
5.53377487584	6.66133814775e-16	perProject_driver	[600,601]:182	BRAF	RFC	183	182.0	True	0.9995	1.5670559649e-08	ENSG00000157764	3.9901415505000005e-13	THCA_TCGA	3	RFC	THCA	182.0	183	2.50728954385e-08
5.54615384615	5.34017274845e-14	perProject_driver	[61,61]:26	NRAS	RFC	26	26.0	True	0.9965	1.4601095077599999e-08	ENSG00000213281	1.59938173816e-11	THCA_TCGA	3	RFC	THCA	26.0	26	2.50728954385e-08
5.54615384615	8.07279421089e-09	perProject_driver	[61,61]:12	HRAS	RFC	12	12.0	True	0.922	1.4601095077599999e-08	ENSG00000174775	1.20890093308e-06	THCA_TCGA	3	RFC	THCA	12.0	12	2.50728954385e-08
	3.75693107527e-05	perProject_driver		MLL3	RF	8	8.0	True	0.018000000000000002		ENSG00000055609	0.00375066952348	THCA_TCGA	1	F	THCA	5.0	5	
3.5570977883699997	0.004709284516729999	perProject_driver	[8,9]:4	EIF1AX	RF	6	6.0		0.19399999999999998	0.000187487299742	ENSG00000173674	0.0881519195476	THCA_TCGA	2	RC	THCA	5.0	5	0.000214271199705
	0.000117208351213	perProject_driver		PPM1D		5	5.0		0.091		ENSG00000170836	0.00780086693075	THCA_TCGA	1	F	THCA	5.0	5	
5.54615384615	0.030524259857099997	perProject_driver	[111,111]:5	RPSAP58	FC	5	5.0		0.995	1.4601095077599999e-08	ENSG00000205246	0.277030782643	THCA_TCGA	1	C	THCA	5.0	5	2.50728954385e-08
	0.00011229263382200001	perProject_driver		TP53	RFC	3	3.0	True	0.006999999999999999		ENSG00000141510	0.00780086693075	THCA_TCGA	1	F	THCA	3.0	3	
	0.026620761724099995	Pooled_driver		CHD3	F	7	3.0		0.2125		ENSG00000170004	0.253108512266	THCA_TCGA	0		THCA	3.0	7	
	0.000651683654869	Pooled_driver		DICER1	F	5	5.0	True	0.0705		ENSG00000100697	0.0325298757722	THCA_TCGA	0		THCA	3.0	3	
